start,end,days,sign,avg_abs_pos,trade_return_pct
2012-10-31,2012-12-17,34,1,1.7058823529411764,-4.582098891152324
2012-12-20,2012-12-21,2,-1,1.0,-0.6778349631690926
2012-12-28,2013-01-02,4,1,1.0,-1.6465919232930528
2013-01-04,2013-01-14,7,-1,1.0,-1.0531365380047124
2013-01-29,2013-02-07,8,-1,1.0,-1.0846281186450848
2013-02-14,2013-02-21,6,-1,1.0,-0.5021360961805561
2013-02-26,2013-03-07,8,1,1.875,-3.104224181756577
2013-03-12,2013-03-15,4,-1,1.0,-0.8328917208077223
2013-03-19,2013-05-10,39,1,2.641025641025641,1.7844883619223437
2013-05-23,2013-09-18,85,-1,1.5647058823529412,1.898403236016673
2013-09-26,2013-10-09,10,1,1.0,0.0666867890499262
2013-10-18,2013-11-05,13,1,1.0,-0.8708709898923153
2013-11-13,2013-11-13,1,-1,1.0,-0.028071796335632997
2013-12-06,2014-01-10,26,-1,1.4230769230769231,-0.3659833872480127
2014-01-30,2014-03-07,27,1,1.0,-0.7129083932943903
2014-03-14,2014-03-19,4,1,1.0,-2.4634906284186604
2014-04-03,2014-04-07,3,-1,1.0,-1.8381616162882135
2014-04-11,2014-04-17,5,1,1.0,-2.368763162843684
2014-05-01,2014-06-09,28,1,2.0714285714285716,-0.21897498000304283
2014-06-25,2014-07-04,8,1,1.5,-2.5181153459989
2014-07-09,2014-09-09,45,1,1.9111111111111112,-2.721460929806575
2014-09-15,2014-09-23,7,-1,1.2857142857142858,-1.8100705534443362
2014-09-30,2014-12-23,61,1,1.901639344262295,5.071117845004051
2015-01-01,2015-02-10,29,1,2.0344827586206895,2.6143496039476446
2015-02-26,2015-03-02,3,1,1.0,-0.8054277486260046
2015-03-19,2015-05-01,32,1,1.21875,-3.473165848260451
2015-05-07,2015-05-08,2,-1,1.0,-0.9012279653936991
2015-05-13,2015-05-15,3,-1,1.0,-2.256633807918159
2015-06-04,2015-06-17,10,-1,1.0,-0.5277524492015142
2015-06-29,2015-06-29,1,-1,1.0,-0.02895204684766763
2015-07-09,2015-07-10,2,1,1.0,-1.5606381335304444
2015-07-28,2015-09-15,36,1,1.0277777777777777,-0.2218309879895557
2015-09-21,2015-11-02,31,1,1.2903225806451613,-2.818130471494057
2015-11-04,2015-11-24,15,-1,1.0,-0.17079213585436925
2015-12-02,2015-12-03,2,1,1.0,-2.1827859950329596
