start,end,days,sign,avg_contracts,trade_return_pct
2002-03-11,2002-03-14,4,1,1.0,-1.3546339464422594
2002-04-05,2002-04-17,9,-1,1.0,-0.2544227801882169
2002-04-24,2002-05-14,15,-1,1.0666666666666667,0.5614090485062335
2002-05-29,2002-08-14,56,-1,1.2857142857142858,19.161138700026072
2002-08-30,2002-10-15,33,-1,1.1515151515151516,6.598888388360699
2002-12-30,2003-01-02,4,-1,1.0,-3.005543024655428
2003-01-22,2003-03-17,39,-1,1.1282051282051282,-3.3780468548490603
2003-04-24,2003-05-20,19,1,1.0,0.9437497556399477
2003-05-28,2003-08-05,50,1,1.26,0.4623921935606776
2003-08-13,2003-09-25,32,1,1.34375,0.9056615712005056
2003-10-03,2004-03-11,115,1,1.9304347826086956,11.305291807111871
2004-03-31,2004-04-20,15,1,1.0,-1.052547495039279
2004-04-23,2004-04-29,5,1,1.0,-2.5525535005010336
2004-05-11,2004-05-21,9,-1,1.0,-0.029201180733003984
2004-05-28,2004-07-06,28,1,1.0,-0.5026212365582146
2004-07-20,2004-07-20,1,-1,1.0,-0.002561595571193302
2004-07-26,2004-07-29,4,-1,1.0,-1.727601086420621
2004-08-06,2004-08-18,9,-1,1.0,-3.1037638437204347
2004-09-03,2004-09-23,15,1,1.0,-0.7776697522077973
2004-10-04,2004-10-13,8,1,1.0,-2.3276717643200753
2004-10-29,2005-01-13,55,1,1.8181818181818181,3.610945487311365
2005-01-19,2005-01-20,2,1,1.0,-0.7024349720330638
2005-02-02,2005-03-16,31,1,1.2258064516129032,-2.6190994326961756
2005-03-24,2005-03-30,5,-1,1.0,-1.002479009090354
2005-04-18,2005-04-25,6,-1,1.0,-1.7274554895932137
2005-04-29,2005-05-02,2,-1,1.0,-0.5025556947442066
2005-05-20,2005-06-24,26,1,1.1153846153846154,-2.4826287945349437
2005-07-11,2005-08-17,28,1,1.5714285714285714,-0.6091338176856559
2005-09-07,2005-09-20,10,1,1.0,-1.427507207790223
2005-10-06,2005-10-24,13,-1,1.1538461538461537,-2.1825891455339397
2005-11-11,2005-12-30,36,1,1.25,-0.5389157458359728
2006-01-04,2006-01-20,13,1,2.230769230769231,-4.209729349789273
2006-01-30,2006-02-03,5,1,1.0,-2.302430093137791
2006-02-16,2006-03-09,16,1,1.0,-1.9775016393008196
2006-03-14,2006-04-11,21,1,1.380952380952381,-2.2324451864978183
2006-04-19,2006-05-12,18,1,1.0,-2.1025187425896155
2006-05-18,2006-05-26,7,-1,1.0,-1.977600265903489
2006-05-31,2006-06-01,2,-1,1.0,-1.3776712210820565
2006-06-08,2006-06-29,16,-1,1.0,-1.6527369312744822
2006-07-14,2006-07-24,7,-1,1.0,-2.527766309599623
2006-08-17,2007-02-27,139,1,1.9136690647482015,1.8000741479869937
2007-03-05,2007-03-08,4,-1,1.0,-3.252770684942869
2007-03-26,2007-03-28,3,1,1.0,-1.5778331098408256
2007-04-05,2007-06-07,46,1,1.826086956521739,0.0866043136518364
2007-06-15,2007-06-25,7,1,1.0,-3.428063325967943
2007-07-04,2007-07-24,15,1,1.0,-1.6532272558058456
2007-07-30,2007-08-07,7,-1,1.0,-0.17863845332531358
2007-08-15,2007-08-20,4,-1,1.0,-3.4566448270903485
2007-09-20,2007-10-19,22,1,1.0,-2.6045413587271877
2007-11-12,2007-11-14,3,-1,1.0,-3.7797895125195615
2007-11-20,2007-11-28,7,-1,1.0,-2.3548836827050863
2008-01-07,2008-01-31,19,-1,1.0,4.194548189593421
2008-02-07,2008-02-26,14,-1,1.0,-4.25805174779107
2008-03-03,2008-03-20,14,-1,1.0,0.9188497623540663
2008-06-12,2008-08-06,40,-1,1.125,2.9687197372053293
2008-09-05,2008-09-19,11,-1,1.0,-0.4060035110445037
2008-10-06,2008-10-20,11,-1,1.0,6.268074365272977
2008-10-24,2008-10-28,3,-1,1.0,-7.283572811763595
2008-11-13,2008-11-26,10,-1,1.0,2.138203109901918
2008-12-24,2008-12-31,6,-1,1.0,-3.509841663558781
2009-01-13,2009-03-18,47,-1,1.0,7.361439363817006
2009-03-23,2009-03-23,1,-1,1.0,-0.010153547653230384
2009-06-03,2009-06-15,9,1,1.0,-0.859709423047057
2009-07-09,2009-07-13,3,-1,1.0,-1.656994452181192
2009-07-21,2009-10-28,72,1,1.2916666666666667,7.986170815161928
2009-11-09,2010-01-22,55,1,1.290909090909091,-4.847520819481469
2010-02-19,2010-05-05,54,1,1.7962962962962963,11.582836863131828
2010-05-21,2010-05-27,5,-1,1.0,-1.6539916678675333
2010-06-30,2010-07-07,6,-1,1.0,-3.27942004253298
2010-08-25,2010-09-01,6,-1,1.0,-2.7294954972591974
2010-09-14,2011-03-15,131,1,1.6641221374045803,22.906041261787866
2011-03-25,2011-05-24,43,1,1.1395348837209303,-1.7373491436495065
2011-05-30,2011-06-01,3,1,1.0,-1.8531547796232377
2011-07-01,2011-07-13,9,1,1.0,-2.253443786454492
2011-07-22,2011-07-27,4,1,1.0,-4.203553918739802
2011-08-03,2011-08-15,9,-1,1.0,5.5963899027076245
2011-08-22,2011-08-24,3,-1,1.0,-4.880075296590383
2011-09-26,2011-09-26,1,-1,1.0,-0.00574416681671368
2011-10-04,2011-10-06,3,-1,1.0,-4.455923937287023
2011-10-31,2011-10-31,1,1,1.0,-0.0063133842451041765
2011-11-25,2011-11-28,2,-1,1.0,-3.756440651462117
2012-01-11,2012-04-10,65,1,1.5846153846153845,6.91450103574623
2012-04-13,2012-05-04,16,1,1.0,-0.25639693962210597
2012-05-18,2012-05-24,5,-1,1.0,-3.2551313750129696
2012-06-04,2012-06-06,3,-1,1.0,-4.305010775742571
2012-06-21,2012-06-21,1,1,1.0,-0.004857858047143277
2012-07-04,2012-07-10,5,1,1.0,-3.2547431648240392
2012-07-19,2012-07-23,3,1,1.0,-2.8793472660124877
2012-07-30,2012-10-23,62,1,1.1612903225806452,-2.3207744494467173
2012-11-15,2012-11-19,3,-1,1.0,-2.954094648417625
2012-12-03,2012-12-04,2,1,1.0,-0.2540731854739471
2012-12-10,2012-12-27,14,1,1.0,0.3459389103017589
2013-01-03,2013-04-18,76,1,1.618421052631579,11.546024704775718
2013-04-24,2013-06-20,42,1,1.4285714285714286,2.3099319103175056
2013-07-08,2013-08-19,31,1,1.7419354838709677,-1.0903324413368365
2013-08-26,2013-08-27,2,1,1.0,-2.6039293436538626
2013-09-06,2013-10-08,23,1,1.2608695652173914,-0.911400232734332
2013-10-14,2014-01-24,75,1,1.72,4.912009846587878
2014-02-12,2014-04-10,42,1,1.0,1.7171201134476257
2014-04-17,2014-08-06,80,1,1.8625,6.823983987886248
2014-08-14,2014-10-01,35,1,1.6571428571428573,-0.47407914137111895
2014-10-15,2014-10-20,4,-1,1.0,-4.204012228386456
2014-10-29,2014-12-12,33,1,1.393939393939394,-0.3152139817086672
2014-12-22,2015-01-05,11,1,1.0,-5.604333936840979
2015-01-27,2015-01-27,1,1,1.0,-0.00463488001963637
2015-02-11,2015-03-10,20,1,1.0,-2.2321385467321706
2015-03-19,2015-03-25,5,1,1.0,-2.8301395533359184
2015-04-13,2015-05-06,18,1,1.0,-1.1302535172732602
2015-05-15,2015-06-04,15,1,1.0,-2.657434661022429
2015-06-19,2015-06-29,7,1,1.0,-5.230097387802495
2015-07-17,2015-07-24,6,1,1.0,-4.629983551119699
2015-08-24,2015-08-28,5,-1,1.0,-7.3806599316579025
2015-09-07,2015-09-08,2,-1,1.0,-3.46836180440565
2015-09-29,2015-10-02,4,-1,1.0,-6.406044656410681
2015-10-26,2015-11-12,14,1,1.0,-1.3061053042464965
2015-11-26,2015-12-03,6,1,1.0,-4.36857034500477
2016-01-08,2016-01-29,16,-1,1.0,-1.756639435700598
2016-02-09,2016-02-16,6,-1,1.0,-4.308921131945873
2016-03-17,2016-05-04,35,1,1.0,1.642711474201164
2016-05-11,2016-05-13,3,1,1.0,-1.7064936332517526
2016-05-26,2016-06-14,14,1,1.0,-1.3563763204025678
2016-06-24,2016-06-24,1,1,1.0,-0.0063096961901512654
2016-07-12,2016-09-09,44,1,1.0,-2.158868751652709
2016-11-04,2016-11-07,2,-1,1.0,-4.854948031403637
2016-11-11,2017-08-17,200,1,1.6,32.55784134507195
2017-08-31,2018-02-05,113,1,2.0530973451327434,40.84076085633001
2018-06-06,2018-06-25,14,1,1.0,-1.7325948765321386
2018-07-10,2018-10-11,68,1,1.3088235294117647,-6.067265323451272
2018-10-29,2018-11-01,4,-1,1.0,-9.458178838081766
2018-12-20,2018-12-27,6,-1,1.0,2.3416998306676824
2019-02-18,2019-03-07,14,1,1.0,-1.2845199158809204
2019-03-15,2019-03-25,7,1,1.0,-3.5345907316396743
2019-04-01,2019-05-09,29,1,1.103448275862069,-4.978859551214496
2019-06-04,2019-06-05,2,-1,1.0,-7.8099855688218645
2019-06-21,2019-08-01,30,1,1.0,-0.3723518497117859
2019-10-30,2020-02-21,83,1,1.144578313253012,23.903849969385398
2020-08-07,2020-09-07,22,1,1.0,5.5555594845372696
2020-10-13,2020-10-20,6,1,1.0,-8.219222930670892
2020-11-12,2021-01-27,55,1,1.0,19.652450586774414
2021-02-08,2021-02-25,14,1,1.0,-8.270962515905147
2021-03-16,2021-03-18,3,1,1.0,-4.71180415671793
2021-03-30,2021-05-12,32,1,1.0,10.238153800337223
2021-05-25,2021-06-18,19,1,1.0,-3.736792671847251
2021-06-25,2021-07-19,17,1,1.0,-1.3611747280372661
2021-07-22,2021-09-17,42,1,1.0,4.633965981281509
2021-10-20,2021-11-30,30,1,1.0,6.035163683408521
2021-12-30,2022-01-05,5,1,1.0,-8.061617759321898
2023-06-13,2023-06-23,9,1,1.0,-2.9651707066119894
2023-06-30,2023-08-03,25,1,1.0,4.2108117411786266
2023-12-13,2024-01-03,16,1,1.0,-0.9857682417853946
2024-01-11,2024-01-17,5,1,1.0,-4.285715167072631
2024-01-22,2025-04-03,314,1,1.0,42.87299680126813
2025-07-04,2025-07-08,3,1,1.0,-5.243830571495869
2025-07-11,2025-07-15,3,1,1.0,-1.6189088239215395
2025-07-18,2025-08-01,11,1,1.0,-7.04394683627608
2025-08-15,2025-08-19,3,1,1.0,-3.9228940281133293
2025-09-12,2025-10-10,21,1,1.0,-4.994890661346528
