,US10
2008-12-03,508.09826974652094
2008-12-04,524.8728882296267
2008-12-05,498.6130876670787
2008-12-08,493.0572099471686
2008-12-09,504.3716295306919
2008-12-10,493.46461027900517
2008-12-11,516.4149995046386
2008-12-12,524.0431351235085
2008-12-15,531.7656689206619
2008-12-16,571.5076780312023
2008-12-17,591.9362006738078
2008-12-18,602.2828091745083
2008-12-19,578.7453618982689
2008-12-22,577.3454495893537
2008-12-23,582.2350370535769
2008-12-24,572.7370461470966
2008-12-25,572.7370461470966
2008-12-26,586.265367684461
2008-12-29,595.8194683501932
2008-12-30,585.3977201285263
2008-12-31,549.3500837855166
2009-01-01,549.2857452942469
2009-01-02,520.9809448353259
2009-01-05,518.4967326090269
2009-01-06,520.8006033160451
2009-01-07,522.2750047489208
2009-01-08,532.0661130267671
2009-01-09,534.8175390300277
2009-01-12,546.1607479547266
2009-01-13,544.1715722710552
2009-01-14,559.615511561993
2009-01-15,560.5697036317999
2009-01-16,548.7144706910099
2009-01-19,548.7144706910099
2009-01-20,542.1665090024725
2009-01-21,505.14932019661813
2009-01-22,491.67526565651406
2009-01-23,488.4110580087662
2009-01-26,485.7334768112069
2009-01-27,495.6760953317699
2009-01-28,487.8426908134177
2009-01-29,478.2902470876997
2009-01-30,476.7710354105427
2009-02-02,483.383464797609
2009-02-03,477.21563262267085
2009-02-04,474.67553454244637
2009-02-05,476.01997651056723
2009-02-06,473.8149000379876
2009-02-09,472.7333040290928
2009-02-10,477.96581713776385
2009-02-11,479.2577117164798
2009-02-12,481.14730690196484
2009-02-13,470.72892744178796
2009-02-16,470.68465959594016
2009-02-17,483.5518152802673
2009-02-18,477.68266655689064
2009-02-19,466.48103860068596
2009-02-20,473.9156269448485
2009-02-23,473.02785120941826
2009-02-24,471.0580679708858
2009-02-25,463.20601953628614
2009-02-26,464.87432433559235
2009-02-27,464.70060602920915
2009-03-02,468.45057099112194
2009-03-03,467.44349448420104
2009-03-04,464.44937577487167
2009-03-05,471.6461053160013
2009-03-06,471.7737553601502
2009-03-09,470.44144945872705
2009-03-10,464.87964532650443
2009-03-11,468.9044127994558
2009-03-12,471.6778218118531
2009-03-13,472.74971772775035
2009-03-16,469.6046417915376
2009-03-17,464.8698032066455
2009-03-18,499.5589623216638
2009-03-19,493.82567974446283
2009-03-20,494.1425919469567
2009-03-23,491.8324536205577
2009-03-24,491.0556735251807
2009-03-25,482.65160066724457
2009-03-26,486.5859355311933
2009-03-27,484.08377989994307
2009-03-30,487.3889341069269
2009-03-31,489.59164260982783
2009-04-01,491.02877223868927
2009-04-02,484.584344021005
2009-04-03,473.897411481871
2009-04-06,472.8820226174089
2009-04-07,474.42438180415945
2009-04-08,476.36306409274846
2009-04-09,474.90414508676366
2009-04-10,474.90414508676366
2009-04-13,477.5990082668579
2009-04-14,479.24424251795205
2009-04-15,480.13526574273317
2009-04-16,476.4124968164561
2009-04-17,469.3874695115055
2009-04-20,474.88952210313994
2009-04-21,471.2964625899954
2009-04-22,468.51269587495227
2009-04-23,469.27924232177656
2009-04-24,467.16223513939246
2009-04-27,470.1069039091706
2009-04-28,468.3253198344544
2009-04-29,466.77130528803207
2009-04-30,466.20697697980927
2009-05-01,465.85554591528256
2009-05-04,465.9275337361398
2009-05-05,465.9275337361398
2009-05-06,465.9275337361398
2009-05-07,465.9275337361398
2009-05-08,465.91106096635644
2009-05-11,465.38168830642945
2009-05-12,465.3134043055264
2009-05-13,465.2804565691266
2009-05-14,465.143920569443
2009-05-15,464.5130050409099
2009-05-18,461.79628620415053
2009-05-19,461.1039941469217
2009-05-20,462.05440303405504
2009-05-21,460.3155472246685
2009-05-22,458.9728339528335
2009-05-25,458.8599798224657
2009-05-26,461.0604909930165
2009-05-27,467.1171994771476
2009-05-28,467.3173869273917
2009-05-29,455.8167236317773
2009-06-01,475.06659534070474
2009-06-02,473.1886434902952
2009-06-03,466.8925244844565
2009-06-04,479.34644463172447
2009-06-05,497.0617726339788
2009-06-08,498.76639352711294
2009-06-09,492.70773937849765
2009-06-10,497.3382685923922
2009-06-11,487.5214330145804
2009-06-12,482.7478213713369
2009-06-15,475.59726914038424
2009-06-16,472.001403192414
2009-06-17,469.23562048314665
2009-06-18,481.2857924803626
2009-06-19,478.55440407684586
2009-06-22,472.3530240581471
2009-06-23,469.58321910078905
2009-06-24,471.7355953973037
2009-06-25,465.92890575654985
2009-06-26,464.70319687840276
2009-06-29,464.5254542810273
2009-06-30,464.722157212753
2009-07-01,464.722157212753
2009-07-02,464.39567721561446
2009-07-03,464.36583886497357
2009-07-06,464.36583886497357
2009-07-07,464.59786314618594
2009-07-08,466.07023943556214
2009-07-09,463.79784886341844
2009-07-10,469.5063020831606
2009-07-13,466.928370895213
2009-07-14,462.8978645083799
2009-07-15,454.97855940904407
2009-07-16,456.76818618620007
2009-07-17,455.709417810804
2009-07-20,456.3274532252857
2009-07-21,455.4581915796211
2009-07-22,456.00659038105834
2009-07-23,454.6686995229539
2009-07-24,454.99065197926035
2009-07-27,455.3400188657479
2009-07-28,455.25837236762675
2009-07-29,455.4752701693329
2009-07-30,454.93988943662674
2009-07-31,451.29809641219884
2009-08-03,454.8430677784677
2009-08-04,454.92109258487403
2009-08-05,455.18708848498477
2009-08-06,454.7390677202875
2009-08-07,457.89414616794664
2009-08-10,455.0907750665876
2009-08-11,452.323994484615
2009-08-12,451.8067244106213
2009-08-13,448.0536555137661
2009-08-14,447.06932365595867
2009-08-17,447.0134390331193
2009-08-18,446.44481340461334
2009-08-19,448.42567585320506
2009-08-20,449.00098398268506
2009-08-21,443.21714637258015
2009-08-24,446.0307823157333
2009-08-25,447.5664938909963
2009-08-26,448.1825061966237
2009-08-27,447.48871271221856
2009-08-28,448.4895905151456
2009-08-31,450.9442117570731
2009-09-01,452.6113266188179
2009-09-02,456.54570194388054
2009-09-03,453.5026629729376
2009-09-04,444.3525720756661
2009-09-07,444.29861885666105
2009-09-08,444.137030204188
2009-09-09,443.2760688949235
2009-09-10,451.14382958148946
2009-09-11,451.6767639519562
2009-09-14,448.0160792680665
2009-09-15,444.471100255301
2009-09-16,441.52177441501817
2009-09-17,445.6574340892323
2009-09-18,442.2811787158051
2009-09-21,442.0816116386331
2009-09-22,443.24110176091585
2009-09-23,445.0066353416389
2009-09-24,446.1515698816025
2009-09-25,447.46789591045336
2009-09-28,448.97172035043394
2009-09-29,449.99933764987486
2009-09-30,450.3511430493507
2009-10-01,462.70763394234
2009-10-02,461.94084837999713
2009-10-05,461.3384832301244
2009-10-06,460.0971763339217
2009-10-07,472.0692534780593
2009-10-08,460.44419732200305
2009-10-09,441.2923791353629
2009-10-12,441.1004163989833
2009-10-13,448.5405471244693
2009-10-14,439.48962809691557
2009-10-15,434.7770813093387
2009-10-16,437.7764816043043
2009-10-19,438.3646746310589
2009-10-20,440.5517811217476
2009-10-21,437.13560427481735
2009-10-22,436.8082872659624
2009-10-23,434.17901459144935
2009-10-26,430.8123291565475
2009-10-27,433.875148683371
2009-10-28,434.0382419557444
2009-10-29,433.4107542342371
2009-10-30,436.7362369051662
2009-11-02,436.2303281059564
2009-11-03,434.44666727217304
2009-11-04,432.34228351978885
2009-11-05,433.91554549668376
2009-11-06,435.7508801843286
2009-11-09,436.3368577095302
2009-11-10,436.5527397476934
2009-11-11,439.70155172931993
2009-11-12,438.81664422813304
2009-11-13,439.0206957980613
2009-11-16,446.9258431641057
2009-11-17,447.57264832908197
2009-11-18,442.91700081708507
2009-11-19,446.4798936349472
2009-11-20,444.9429189340988
2009-11-23,445.9646869071003
2009-11-24,453.64231531673147
2009-11-25,459.83986611841516
2009-11-26,459.76730173383606
2009-11-27,473.41162971359836
2009-11-30,474.7280596595068
2009-12-01,463.2356657259659
