start,end,days,sign,avg_abs_pos,trade_return_pct
1998-11-09,1998-11-12,4,-1,1.5,0.10024057546881211
1998-11-13,1998-12-24,30,1,14.766666666666667,-4.284553564549256
1998-12-25,1998-12-30,4,-1,5.0,-0.6712456830147556
1998-12-31,1999-01-08,7,1,4.428571428571429,-0.6778922044643302
1999-01-11,1999-01-14,4,-1,9.75,-1.7718897327977903
1999-01-15,1999-02-03,14,1,6.857142857142857,-1.1661719731427924
1999-02-04,1999-04-08,46,-1,29.23913043478261,2.0425405031260166
1999-04-09,1999-04-15,5,1,5.8,-0.4672973469195645
1999-04-16,1999-09-24,116,-1,29.344827586206897,1.0407881655527813
1999-09-27,1999-09-28,2,1,4.0,0.2031379663105632
1999-09-29,1999-11-04,27,-1,24.25925925925926,-2.5774056211214975
1999-11-05,1999-11-18,10,1,8.8,-0.7902904415706024
1999-11-19,1999-12-10,16,-1,17.375,-1.5865254938998787
1999-12-13,1999-12-14,2,1,5.0,-0.2511831144599921
1999-12-15,2000-02-24,52,-1,38.53846153846154,5.060934466067336
2000-02-28,2000-02-28,1,1,1.0,-0.0012517275028194961
2000-03-01,2000-03-14,10,-1,2.0,-0.14155778155585672
2000-03-15,2000-04-27,32,1,25.34375,-0.6627778190455779
2000-04-28,2000-05-26,21,-1,21.19047619047619,-1.8100023374767318
2000-05-29,2001-04-16,231,1,38.79220779220779,21.172778332270642
2001-04-17,2001-05-03,13,-1,3.8461538461538463,0.13528780345093822
2001-05-04,2001-05-11,6,1,7.166666666666667,-2.184562470471119
2001-05-14,2001-06-01,15,-1,10.466666666666667,-0.7662029182358306
2001-06-05,2001-06-29,19,1,19.63157894736842,-3.6982871654503358
2001-07-02,2001-07-10,7,-1,3.0,0.11832182080629627
2001-07-11,2001-11-16,93,1,48.193548387096776,8.182948026017682
2001-11-19,2001-11-30,10,-1,8.6,-1.4938024491669761
2001-12-03,2001-12-06,4,1,6.5,-2.0290965947128976
2001-12-07,2002-01-08,23,-1,6.869565217391305,-1.941947471585003
2002-01-10,2002-03-07,41,1,13.24390243902439,-4.015219148473521
2002-03-08,2002-04-05,21,-1,18.142857142857142,-1.5314160051447612
2002-04-08,2003-07-15,332,1,35.774096385542165,51.418608377331594
2003-07-16,2003-09-09,40,-1,16.65,0.22480230098322018
2003-09-10,2003-10-14,25,1,12.04,-1.1060342302022752
2003-10-15,2003-10-22,6,-1,7.166666666666667,-1.2429371865825547
2003-10-24,2003-11-06,10,1,5.3,-0.5471459998014642
2003-11-07,2003-11-13,5,-1,5.6,-1.1448860744460037
2003-11-14,2003-12-01,12,1,14.25,-3.143980456868694
2003-12-02,2003-12-05,4,-1,4.5,-0.8394169152728396
2003-12-08,2004-01-05,21,1,12.428571428571429,-0.904815772127154
2004-01-07,2004-04-05,64,1,27.90625,-2.290067749964349
2004-04-06,2004-06-25,59,-1,17.372881355932204,1.5837034295695616
2004-06-28,2004-06-28,1,1,1.0,0.06778504299266722
2004-06-29,2004-06-30,2,-1,1.0,-0.040812878848970814
2004-07-01,2004-11-29,108,1,25.64814814814815,-2.1976400228800235
2004-11-30,2004-12-06,5,-1,8.2,-1.180647446338071
2004-12-07,2004-12-29,17,1,16.705882352941178,-1.680337606617235
2005-01-03,2005-02-18,35,1,17.97142857142857,-2.312974287614931
2005-02-21,2005-04-12,37,-1,18.756756756756758,-0.5358013191283905
2005-04-13,2005-07-12,65,1,28.73846153846154,-0.02361547114520026
2005-07-13,2005-08-18,27,-1,13.592592592592593,-0.800050047367612
2005-08-19,2005-09-16,21,1,17.285714285714285,-2.254672173504618
2005-09-19,2005-09-22,4,-1,2.0,-0.007023462314378878
2005-09-23,2005-09-26,2,1,2.5,0.014603159240387853
2005-09-27,2005-11-28,45,-1,30.2,0.9282207881446386
2005-11-30,2005-12-23,18,-1,10.555555555555555,-0.9402066420657331
2005-12-26,2006-01-11,13,1,12.307692307692308,-0.8650094259737312
2006-01-12,2006-01-13,2,-1,5.0,-0.08285957156921298
2006-01-16,2006-01-25,8,1,8.25,-0.9778824960242207
