index,meta_best,baseline_g1
2022-02-14,886.4791924818298,860.8488542320152
2022-02-15,895.9299194920876,869.4930643712812
2022-02-16,892.504399903493,866.9417644842276
2022-02-17,870.9564685291895,849.2042119067937
2022-02-18,864.0473301606246,843.5529718247643
2022-02-21,864.0473301606246,843.5529718247643
2022-02-22,864.0473301606246,843.5529718247643
2022-02-23,873.368491337336,852.9170583947478
2022-02-24,865.5448822616304,845.0617298274548
2022-02-25,866.8773182078096,846.3992896605434
2022-02-28,837.7406039273103,817.3203286742892
2022-03-01,814.3735505050785,794.0858106796833
2022-03-02,838.6265937147939,816.7324826540146
2022-03-03,831.7714775436141,811.6313236827457
2022-03-04,813.6550211247118,797.3093695366982
2022-03-07,822.430966104681,804.4316297431326
2022-03-08,835.3736495800772,814.713084422702
2022-03-09,852.8738807581998,828.0192686499186
2022-03-10,861.9062772449714,834.3065443628313
2022-03-11,863.4887650656402,835.3505413382121
2022-03-14,893.1515449265364,855.6659944910358
2022-03-15,894.7936242430906,856.9125484942545
2022-03-16,905.8970277339986,865.1954574008928
2022-03-17,901.3105544856999,861.729413349903
2022-03-18,898.839915468401,859.7993836940535
2022-03-21,927.5066262193405,882.908409693021
2022-03-22,938.9322221466882,892.8429871362093
2022-03-23,926.8161685130893,882.2891132987797
2022-03-24,937.5244366518036,892.3082558843596
2022-03-25,956.2170632741736,908.3740535457082
2022-03-28,954.891450335143,907.3399812626585
2022-03-29,943.4612187886165,898.8340671993027
2022-03-30,932.894146453898,891.6010014755042
2022-03-31,933.7521311654184,892.1488849323074
2022-04-01,947.6849104540607,901.2460107413393
2022-04-04,948.1403402953656,901.539712015496
2022-04-05,981.8277620985549,924.4064128854792
2022-04-06,985.4063242517622,926.9446738973412
2022-04-07,994.7387826917293,933.4128000670617
2022-04-08,1003.5586819275624,939.5262520102241
2022-04-11,1014.9378663196353,947.7839077980219
2022-04-12,994.8058332305496,933.6864398474524
2022-04-13,986.2979754466547,927.3727108290647
2022-04-14,1004.0585950616899,943.33552429003
2022-04-15,1004.0585950616899,943.33552429003
2022-04-18,1004.0585950616899,943.33552429003
2022-04-19,1021.0475662360121,959.3894930167203
2022-04-20,1007.7990943021886,946.7395888862238
2022-04-21,1022.9446475485131,962.7586667228329
2022-04-22,1017.7294647656627,957.2703148021137
2022-04-25,1006.0488773798447,944.2508953476164
2022-04-26,991.454080539796,926.6710161136052
2022-04-27,1005.2748208391004,942.2600689640045
2022-04-28,1005.7928428828463,942.8674788145044
2022-04-29,1019.9597336299772,959.6418893526559
2022-05-02,1026.9513293252492,967.4697248552301
2022-05-03,1027.499008921765,968.1204139469982
2022-05-04,1016.814528234999,955.4978879274099
2022-05-05,1029.737093545018,970.6289884980849
2022-05-06,1038.0068923052315,980.3182454600794
2022-05-09,1025.5623520180382,965.8165509269093
2022-05-10,1019.815757945775,959.1463900940388
2022-05-11,1012.4768585009457,950.6565860740686
2022-05-12,1002.6752677410162,939.3767106941874
2022-05-13,1010.4751524540214,948.3141560698862
2022-05-16,1003.984662268799,940.876784760647
2022-05-17,1021.7186717295103,960.9293498019861
2022-05-18,1008.3536758861378,945.8628783535787
2022-05-19,1002.2984123933576,939.4436798949355
2022-05-20,993.4049289139251,929.4757916257313
2022-05-23,1004.4167896871575,941.2206458519469
2022-05-24,985.7642628545177,922.6763573165186
2022-05-25,981.7381416746971,919.3505400181442
2022-05-26,980.9317060746563,918.6607962317042
2022-05-27,984.0951786038517,921.5329523496862
2022-05-30,984.0951786038517,921.5329523496862
2022-05-31,984.0951786038517,921.5329523496862
2022-06-01,1004.476760154918,939.9089804539507
2022-06-02,998.5378998373515,935.0107952402659
2022-06-03,1003.6452910951112,939.291541246254
2022-06-06,1022.5273570046139,957.8433087034518
2022-06-07,1010.4831968777698,946.8133836611313
2022-06-08,1019.1334054411615,954.774305819124
2022-06-09,1024.2260032732106,959.7425587710754
