,baseline_daily_pct,dmom_daily_pct,w_dmom
2002-08-02,1.9,0.02601086918930487,0.013689931152265722
2002-08-05,3.1,0.044322478397498255,0.01429757367661234
2002-08-06,-2.7,-0.04125860774358567,0.015280965830957654
2002-08-07,-1.5,-0.02129987088460728,0.014199913923071518
2002-08-08,-2.975,-0.03998464103398715,0.013440215473609126
2002-08-09,-0.2,-0.0024762345121895073,0.012381172560947536
2002-08-12,0.525,-0.0008862272468755291,-0.0016880518988105315
2002-08-13,1.725,0.020922851216936347,0.012129189111267447
2002-08-14,-3.275,-0.040708641164476485,0.012430119439534804
2002-08-15,-1.2550173040930992,-0.01413135177880862,0.011259886005332986
2002-08-16,-0.0034385921073965056,-3.703284422967616e-05,0.010769769450123933
2002-08-19,0.0,0.0,0.010582264286906212
2002-08-20,0.0,0.0,0.010632692653667926
2002-08-21,0.0,0.0,0.010504128049107055
2002-08-22,0.0,0.0,0.01051229606550919
2002-08-23,0.0,0.0,0.0105059243637355
2002-08-26,0.0,0.0,0.010552443732045337
2002-08-27,0.0,0.0,0.01030509477897766
2002-08-28,0.0,0.0,0.010185293320698474
2002-08-29,0.0,0.0,0.010258938023170525
2002-08-30,-0.00503183202753071,-5.111824525286621e-05,0.010158972909505418
2002-09-02,0.0,0.0,0.010135326357148597
2002-09-03,3.825,-0.0060560231266964795,-0.001583274020051367
2002-09-04,-1.2,-0.011975438614013916,0.00997953217834493
2002-09-05,0.65,0.006255974948336879,0.009624576843595198
2002-09-06,-1.125,-0.010939918637332725,0.009724372122073534
2002-09-09,-0.6,-0.0056364220676795845,0.009394036779465974
2002-09-10,-1.05,-0.009555488743075916,0.00910046546959611
2002-09-11,0.5,0.004392715535858505,0.00878543107171701
2002-09-12,1.7,0.015068615698497009,0.008863891587351182
2002-09-13,-0.2,-0.0018523799980381065,0.009261899990190533
2002-09-16,-0.175,-0.0016074607349898828,0.009185489914227902
2002-09-17,2.05,0.01853396917570293,0.009040960573513624
2002-09-18,0.875,0.008507184501513025,0.009722496573157742
2002-09-19,2.2,0.021805217122186343,0.00991146232826652
2002-09-20,-0.05,-0.00054283090854583,0.0108566181709166
2002-09-23,0.769828845388407,0.008310410554732103,0.010795140510147024
2002-09-24,2.75,0.029737023416564548,0.010813463060568927
2002-09-25,-4.1,-0.04650726552808295,0.01134323549465438
2002-09-26,-2.65,-0.026911072415250002,0.010155121666132076
2002-09-27,5.844771746384836,0.05164949191621832,0.00883687065250496
2002-09-30,1.025,0.01122133186878083,0.010947640847591054
2002-10-01,-3.905328516866752,-0.04308967919029671,0.011033560686174384
2002-10-02,4.694648145481737,0.04659118854982991,0.009924319588182684
2002-10-03,1.0,0.011568050291800249,0.011568050291800249
2002-10-04,1.475,0.017455009762448615,0.011833904923693976
2002-10-07,1.725,0.019977165704277714,0.01158096562566824
2002-10-08,-1.25,-0.015118657801568985,0.012094926241255188
2002-10-09,2.325,0.02725426149079256,0.011722263006792499
2002-10-10,-2.525,-0.030288679003072628,0.011995516436860447
2002-10-11,-3.55,-0.03991509633639292,0.011243689108843076
2002-10-14,-0.3,-0.0031469802822429774,0.010489934274143258
2002-10-15,-4.125,-0.04172796837971802,0.010115871122355883
2002-10-16,2.04447785827108,0.018312886546068996,0.008957243763723298
2002-10-17,0.0,0.0,0.009591260373849738
2002-10-18,0.0,0.0,0.009536115413916975
2002-10-21,0.0,0.0,0.009578283165608801
2002-10-22,0.0,0.0,0.009371087680713626
2002-10-23,0.0,0.0,0.009354336701109606
2002-10-24,0.0,0.0,0.009279082967434448
2002-10-25,0.0,0.0,0.009252189275340965
2002-10-28,0.0,0.0,0.009300379487974185
2002-10-29,0.0,0.0,0.009281659278058072
2002-10-30,0.0,0.0,0.009053859411089287
2002-10-31,0.0,-0.0,-0.0011667193869910441
2002-11-01,0.0,0.0,0.008805490867527965
2002-11-04,0.0,0.0,0.008825500082024549
2002-11-05,0.0,0.0,0.008759668673418744
2002-11-06,0.0,0.0,0.008689461563955048
2002-11-07,0.0,0.0,0.0085694515450088
2002-11-08,0.0,0.0,0.008684685300272372
2002-11-11,0.0,0.0,0.008695377766787853
2002-11-12,0.0,0.0,0.008717742700741268
2002-11-13,0.0,0.0,0.008674027759220654
2002-11-14,0.0,0.0,0.008622898843392087
2002-11-15,-0.0019824137082318028,-1.7230665356273596e-05,0.008691760597056375
2002-11-18,0.0,0.0,0.008644792985577658
2002-11-19,0.0,0.0,0.008591116841306444
2002-11-20,0.0,0.0,0.008499549129217025
2002-11-21,0.0,0.0,0.008622102500106959
2002-11-22,0.0,0.0,0.008725229565164649
2002-11-25,0.0,0.0,0.008733274700656638
2002-11-26,0.0,0.0,0.008833511703339864
2002-11-27,0.0,0.0,0.00873529131021704
2002-11-28,0.0,0.0,0.009019517615043847
2002-11-29,0.0,-0.0,-0.0012273611104760783
2002-12-02,0.0,-0.0,-0.0012271179551296572
2002-12-03,0.0,0.0,0.009086721062222119
2002-12-04,0.0,0.0,0.009174395701378119
2002-12-05,0.0,0.0,0.00907883419982754
2002-12-06,0.0,0.0,0.00911130854685805
2002-12-09,0.0,-0.0,-0.0012351463298701717
2002-12-10,0.0,0.0,0.009413549768098054
2002-12-11,0.0,0.0,0.009189533930149275
2002-12-12,0.0,0.0,0.009229543700032965
2002-12-13,0.0,0.0,0.008952958384286332
2002-12-16,0.0,0.0,0.009003889528233881
2002-12-17,0.0,0.0,0.009111571776136288
2002-12-18,0.0,0.0,0.0091882228855715
2002-12-19,0.0,0.0,0.009008016392843635
2002-12-20,0.0,0.0,0.009198893060653105
2002-12-23,0.0,-0.0,-0.0013134561724539402
2002-12-24,0.0,0.0,0.009194068054132176
2002-12-25,0.0,0.0,0.00909591021271434
2002-12-26,0.0,-0.0,-0.0013344370478396855
2002-12-27,0.0,0.0,0.009050070624730414
2002-12-30,-0.005543024655428036,-5.61400475881802e-05,0.010128053017625451
2002-12-31,-0.15,-0.0015239510524478605,0.010159673682985737
2003-01-01,0.0,0.0,0.010147234104814972
